Student_ID,Attendance,Quiz_Score,Assignment_Score,Understanding_Level
S1000,97.36,53.17,73.69,Good
S1001,97.71,98.23,74.23,Excellent
S1002,99.52,50.0,85.85,Good
S1003,90.38,66.27,68.1,Good
S1004,59.41,83.98,67.66,Average
S1005,60.6,52.26,87.85,Average
S1006,67.01,54.17,89.0,Average
S1007,65.91,53.83,50.72,Poor
S1008,97.83,79.08,57.19,Good
S1009,89.45,94.8,60.65,Good
S1010,86.2,77.77,67.58,Good
S1011,59.3,80.18,64.57,Average
S1012,95.48,67.3,83.43,Good
S1013,91.39,50.94,91.41,Good
S1014,58.18,51.08,59.6,Poor
S1015,93.56,94.42,78.15,Excellent
S1016,63.61,55.13,68.39,Average
S1017,54.04,99.99,75.29,Good
S1018,82.84,58.22,81.04,Good
S1019,82.69,83.73,94.68,Excellent
S1020,54.75,97.45,59.61,Average
S1021,65.94,68.11,54.35,Average
S1022,99.64,86.72,81.36,Excellent
S1023,83.92,67.54,69.71,Good
S1024,86.5,65.25,58.15,Good
S1025,60.65,60.09,55.85,Poor
S1026,53.94,91.05,77.95,Good
S1027,63.85,62.87,65.02,Average
S1028,62.44,64.16,99.87,Good
S1029,61.73,99.95,70.3,Good
S1030,59.64,66.37,60.61,Average
S1031,78.74,71.14,81.44,Good
S1032,66.41,99.5,62.21,Good
S1033,91.02,68.47,74.7,Good
S1034,59.2,68.31,74.13,Average
S1035,73.23,91.39,72.68,Good
S1036,50.68,65.6,89.8,Average
S1037,74.08,61.69,60.83,Average
S1038,52.79,71.16,95.22,Good
S1039,98.89,85.03,89.57,Excellent
S1040,89.53,52.16,66.66,Good
S1041,74.51,68.7,59.03,Average
S1042,54.33,67.31,63.98,Average
S1043,79.62,62.24,66.63,Good
S1044,87.94,82.71,77.85,Good
S1045,59.54,64.5,52.32,Poor
S1046,78.41,80.34,95.72,Good
S1047,90.71,75.22,54.93,Good
S1048,88.41,60.86,63.96,Good
S1049,90.15,63.33,55.46,Good
S1050,93.97,58.53,62.83,Good
S1051,96.88,52.83,91.88,Good
S1052,70.28,80.96,80.76,Good
S1053,78.44,83.64,61.37,Good
S1054,89.53,58.3,93.59,Good
S1055,84.86,80.77,90.04,Excellent
S1056,99.78,99.1,87.68,Excellent
S1057,50.68,53.72,92.38,Average
S1058,67.76,74.52,80.98,Good
